2010_PUBL_TRANSIT,2011_PUBL_TRANSIT,2012_PUBL_TRANSIT,2013_PUBL_TRANSIT,2014_PUBL_TRANSIT,2015_PUBL_TRANSIT,2016_PUBL_TRANSIT,2017_PUBL_TRANSIT,2018_PUBL_TRANSIT,2019_PUBL_TRANSIT,2020_PUBL_TRANSIT,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION
0.3,0.18,0.12,0.17,0.08,0.1,0.08,0.06,0.11,0.68,0.45,1001,1,Alabama,Autauga County,South
0.32,0.21,0.28,0.21,0.19,0.14,0.23,0.11,0.1,0.05,0.03,1003,1,Alabama,Baldwin County,South
0.32,0.22,0.08,0.09,0.1,0.42,0.39,0.26,0.26,0.33,0.06,1005,1,Alabama,Barbour County,South
0.53,0.6,0.94,0.17,0.51,0.54,0.49,0.67,0.48,0.0,0.0,1007,1,Alabama,Bibb County,South
0.06,0.28,0.31,0.28,0.35,0.4,0.18,0.14,0.15,0.13,0.1,1009,1,Alabama,Blount County,South
0.0,0.0,0.13,0.78,0.95,0.75,0.37,0.26,0.0,0.0,0.0,1011,1,Alabama,Bullock County,South
0.44,0.43,0.53,0.13,0.0,0.0,0.0,0.0,0.0,0.16,0.21,1013,1,Alabama,Butler County,South
0.33,0.31,0.36,0.31,0.26,0.21,0.23,0.26,0.33,0.4,0.63,1015,1,Alabama,Calhoun Cou.2,0.22,0.08,0.09,0.09,0.18,0.25,0.16,0.19,0.26,0.2,1017,1,Alabama,Chambers nty,South
0County,South
0.0,0.03,0.02,0.11,0.1,0.21,0.55,0.4,0.23,0.22,0.16,1019,1,Alabama,Cherokee County,South
0.09,0.13,0.13,0.23,0.16,0.18,0.1,0.11,0.0,0.0,0.0,1021,1,Alabama,Chilton County,South
0.17,0.48,0.05,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1023,1,Alabama,Choctaw County,South
0.3,0.41,0.3,0.24,0.12,0.21,0.16,0.16,0.15,0.0,0.0,1025,1,Alabama,Clarke County,South
0.21,0.41,0.65,0.63,0.89,0.57,0.11,0.0,0.0,0.0,0.0,1027,1,Alabama,Clay County,South
0.0,0.13,0.11,0.09,0.11,0.11,0.02,0.02,0.02,0.04,0.0,1029,1,Alabama,Cleburne County,South
0.06,0.11,0.12,0.12,0.06,0.06,0.01,0.01,0.0,0.02,0.02,1031,1,Alabama,Coffee County,South
0.17,0.25,0.3,0.1,0.23,0.24,0.12,0.1,0.1,0.11,0.08,1033,1,Alabama,Colbert County,South
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.21,0.22,0.36,1035,1,Alabama,Conecuh County,South
0.85,0.51,0.31,0.32,0.76,0.52,0.54,0.67,0.47,0.0,0.0,1037,1,Alabama,Coosa County,South
0.01,0.13,0.15,0.33,0.18,0.19,0.2,0.18,0.05,0.03,0.03,1039,1,Alabama,Covington County,South
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.56,0.82,0.83,1041,1,Alabama,Crenshaw County,South
0.13,0.12,0.08,0.04,0.08,0.08,0.13,0.11,0.11,0.07,0.06,1043,1,Alabama,Cullman County,South
0.32,0.36,0.29,0.24,0.16,0.14,0.13,0.14,0.04,0.04,0.04,1045,1,Alabama,Dale County,South
0.09,0.1,0.16,0.32,0.23,0.28,0.28,0.2,0.0,0.0,0.0,1047,1,Alabama,Dallas County,South
0.14,0.13,0.08,0.06,0.02,0.04,0.04,0.04,0.05,0.18,0.19,1049,1,Alabama,DeKalb County,South
0.16,0.16,0.11,0.13,0.21,0.12,0.17,0.14,0.13,0.05,0.08,1051,1,Alabama,Elmore County,South
0.35,0.38,0.62,0.8,0.56,0.44,0.34,0.1,0.0,0.31,0.33,1053,1,Alabama,Escambia County,South
0.06,0.22,0.24,0.24,0.33,0.34,0.27,0.27,0.22,0.09,0.06,1055,1,Alabama,Etowah County,South
0.21,0.18,0.13,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1057,1,Alabama,Fayette County,South
0.18,0.18,0.16,0.05,0.2,0.16,0.24,0.22,0.21,0.09,0.1,1059,1,Alabama,Franklin County,South
0.0,0.05,0.03,0.0,0.05,0.04,0.03,0.04,0.03,0.0,0.0,1061,1,Alabama,Geneva County,South
2.89,3.22,2.42,2.07,2.48,0.82,1.07,0.0,0.0,0.0,0.0,1063,1,Alabama,Greene County,South
0.47,0.24,0.08,0.02,0.04,0.04,0.04,0.0,0.12,0.18,0.1,1065,1,Alabama,Hale County,South
0.43,0.5,0.47,0.43,0.43,0.06,0.07,0.0,0.0,0.0,0.0,1067,1,Alabama,Henry County,South
0.27,0.32,0.33,0.33,0.4,0.35,0.18,0.13,0.1,0.04,0.05,1069,1,Alabama,Houston County,South
0.22,0.18,0.13,0.09,0.08,0.07,0.05,0.06,0.04,0.05,0.04,1071,1,Alabama,Jackson County,South
1.11,1.02,1.01,1.06,0.97,0.96,0.92,0.97,0.93,0.92,0.86,1073,1,Alabama,Jefferson County,South
0.48,0.46,0.26,0.28,0.22,0.11,0.65,0.57,0.69,0.68,0.62,1075,1,Alabama,Lamar County,South
0.03,0.09,0.09,0.19,0.25,0.25,0.22,0.17,0.03,0.0,0.0,1077,1,Alabama,Lauderdale County,South
0.0,0.0,0.19,0.28,0.12,0.15,0.28,0.13,0.15,0.19,0.08,1079,1,Alabama,Lawrence County,South
0.89,0.89,0.89,0.92,0.96,1.0,0.89,0.78,0.73,0.75,0.65,1081,1,Alabama,Lee County,South
0.25,0.48,0.32,0.34,0.28,0.28,0.08,0.08,0.19,0.22,0.2,1083,1,Alabama,Limestone County,South
1.09,1.22,0.89,0.28,0.39,0.31,0.39,0.45,0.36,0.39,0.37,1085,1,Alabama,Lowndes County,South
0.07,0.0,0.0,0.26,0.46,0.55,0.96,1.01,0.52,0.26,0.3,1087,1,Alabama,Macon County,South
0.4,0.42,0.4,0.38,0.38,0.3,0.2,0.22,0.18,0.19,0.18,1089,1,Alabama,Madison County,South
