YEAR,COUNTYFIPS,STATEFIPS,STATE,COUNTY,ACS_PCT_UNEMPLOY,ACS_PCT_PUBL_TRANSIT
2020,1001,1,Alabama,Autauga County,2.91,0.45
2020,1003,1,Alabama,Baldwin County,3.92,0.03
2020,1005,1,Alabama,Barbour County,6.94,0.06
2020,1007,1,Alabama,Bibb County,7.44,0.0
2020,1009,1,Alabama,Blount County,5.2,0.1
2020,1011,1,Alabama,Bullock County,3.35,0.0
2020,1013,1,Alabama,Butler County,6.47,0.21
2020,1015,1,Alabama,Calhoun County,7.29,0.63
2020,1017,1,Alabama,Chambers County,3.59,0.2
2020,1019,1,Alabama,Cherokee County,4.13,0.16
2020,1021,1,Alabama,Chilton County,6.1,0.0
2020,1023,1,Alabama,Choctaw County,6.47,0.0
2020,1025,1,Alabama,Clarke County,11.63,0.0
2020,1027,1,Alabama,Clay County,5.36,0.0
2020,1029,1,Alabama,Cleburne County,3.29,0.0
2020,1031,1,Alabama,Coffee County,5.5,0.02
2020,1033,1,Alabama,Colbert County,3.99,0.08
2020,1035,1,Alabama,Conecuh County,7.86,0.36
2020,1037,1,Alabama,Coosa County,2.55,0.0
2020,1039,1,Alabama,Covington County,7.7,0.03
2020,1041,1,Alabama,Crenshaw County,4.05,0.83
2020,1043,1,Alabama,Cullman County,5.01,0.06
2020,1045,1,Alabama,Dale County,9.02,0.04
2020,1047,1,Alabama,Dallas County,10.38,0.0
2020,1049,1,Alabama,DeKalb County,4.45,0.19
2020,1051,1,Alabama,Elmore County,4.07,0.08
2020,1053,1,Alabama,Escambia County,10.07,0.33
2020,1055,1,Alabama,Etowah County,5.7,0.06
2020,1057,1,Alabama,Fayette County,7.95,0.0
2020,1059,1,Alabama,Franklin County,4.84,0.1
2020,1061,1,Alabama,Geneva County,3.65,0.0
2020,1063,1,Alabama,Greene County,12.66,0.0
2020,1065,1,Alabama,Hale County,9.12,0.1
2020,1067,1,Alabama,Henry County,5.45,0.0
2020,1069,1,Alabama,Houston County,5.6,0.05
2020,1071,1,Alabama,Jackson County,5.19,0.04
2020,1073,1,Alabama,Jefferson County,6.25,0.86
2020,1075,1,Alabama,Lamar County,5.11,0.62
2020,1077,1,Alabama,Lauderdale County,4.67,0.0
2020,1079,1,Alabama,Lawrence County,3.76,0.08
2020,1081,1,Alabama,Lee County,4.68,0.65
2020,1083,1,Alabama,Limestone County,5.09,0.2
2020,1085,1,Alabama,Lowndes County,10.48,0.37
2020,1087,1,Alabama,Macon County,10.87,0.3
2020,1089,1,Alabama,Madison County,4.47,0.18
2020,1091,1,Alabama,Marengo County,6.94,0.0
2020,1093,1,Alabama,Marion County,6.16,0.03
2020,1095,1,Alabama,Marshall County,3.65,0.47
2020,1097,1,Alabama,Mobile County,5.62,0.54
2020,1099,1,Alabama,Monroe County,13.51,0.8
2020,1101,1,Alabama,Montgomery County,6.42,0.43
2020,1103,1,Alabama,Morgan County,4.79,0.17
2020,1105,1,Alabama,Perry County,11.45,0.0
2020,1107,1,Alabama,Pickens County,8.47,0.41
2020,1109,1,Alabama,Pike County,4.88,0.21
2020,1111,1,Alabama,Randolph County,4.09,1.42
2020,1113,1,Alabama,Russell County,5.59,0.32
2020,1115,1,Alabama,St. Clair County,5.2,0.13
2020,1117,1,Alabama,Shelby County,3.78,0.02
2020,1119,1,Alabama,Sumter County,7.97,0.55
2020,1121,1,Alabama,Talladega County,7.05,0.22
2020,1123,1,Alabama,Tallapoosa County,10.96,0.28
2020,1125,1,Alabama,Tuscaloosa County,5.95,0.74
2020,1127,1,Alabama,Walker County,7.33,0.06
2020,1129,1,Alabama,Washington County,6.75,0.0
2020,1131,1,Alabama,Wilcox County,12.98,0.64
2020,1133,1,Alabama,Winston County,5.43,0.24
2020,2013,2,Alaska,Aleutians East Borough,3.56,0.15
2020,2016,2,Alaska,Aleutians West Census Area,4.01,0.64
2020,2020,2,Alaska,Anchorage Municipality,5.23,1.62
2020,2050,2,Alaska,Bethel Census Area,17.5,0.36
2020,2060,2,Alaska,Bristol Bay Borough,3.82,0.24
2020,2063,2,Alaska,Chugach Census Area,2.81,0.2
2020,2066,2,Alaska,Copper River Census Area,5.64,1.79
2020,2068,2,Alaska,Denali Borough,3.66,0.0
2020,2070,2,Alaska,Dillingham Census Area,11.6,0.17
2020,2090,2,Alaska,Fairbanks North Star Borough,7.12,0.86
2020,2100,2,Alaska,Haines Borough,9.03,0.27
2020,2105,2,Alaska,Hoonah-Angoon Census Area,10.85,1.88
2020,2110,2,Alaska,Juneau City and Borough,4.43,3.66
2020,2122,2,Alaska,Kenai Peninsula Borough,8.0,0.36
2020,2130,2,Alaska,Ketchikan Gateway Borough,5.56,4.34
2020,2150,2,Alaska,Kodiak Island Borough,6.18,0.03
2020,2158,2,Alaska,Kusilvak Census Area,22.55,0.09
2020,2164,2,Alaska,Lake and Peninsula Borough,18.25,0.0
2020,2170,2,Alaska,Matanuska-Susitna Borough,9.87,0.77
2020,2180,2,Alaska,Nome Census Area,18.07,0.21
2020,2185,2,Alaska,North Slope Borough,9.8,1.11
2020,2188,2,Alaska,Northwest Arctic Borough,15.98,1.28
2020,2195,2,Alaska,Petersburg Census Area,4.32,0.54
2020,2198,2,Alaska,Prince of Wales-Hyder Census Area,9.69,1.05
2020,2220,2,Alaska,Sitka City and Borough,5.36,0.76
2020,2230,2,Alaska,Skagway Municipality,9.97,0.52
2020,2240,2,Alaska,Southeast Fairbanks Census Area,10.52,0.67
2020,2261,2,Alaska,Valdez-Cordova Census Area,,
