YEAR,COUNTYFIPS,STATEFIPS,STATE,ACS_PCT_UNEMPLOY,ACS_PCT_PUBL_TRANSIT
2020,1001,1,Alabama,2.91,0.45
2020,1003,1,Alabama,3.92,0.03
2020,1005,1,Alabama,6.94,0.06
2020,1007,1,Alabama,7.44,0.0
2020,1009,1,Alabama,5.2,0.1
2020,1011,1,Alabama,3.35,0.0
2020,1013,1,Alabama,6.47,0.21
2020,1015,1,Alabama,7.29,0.63
2020,1017,1,Alabama,3.59,0.2
2020,1019,1,Alabama,4.13,0.16
2020,1021,1,Alabama,6.1,0.0
2020,1023,1,Alabama,6.47,0.0
2020,1025,1,Alabama,11.63,0.0
2020,1027,1,Alabama,5.36,0.0
2020,1029,1,Alabama,3.29,0.0
2020,1031,1,Alabama,5.5,0.02
2020,1033,1,Alabama,3.99,0.08
2020,1035,1,Alabama,7.86,0.36
2020,1037,1,Alabama,2.55,0.0
2020,1039,1,Alabama,7.7,0.03
2020,1041,1,Alabama,4.05,0.83
2020,1043,1,Alabama,5.01,0.06
2020,1045,1,Alabama,9.02,0.04
2020,1047,1,Alabama,10.38,0.0
2020,1049,1,Alabama,4.45,0.19
2020,1051,1,Alabama,4.07,0.08
2020,1053,1,Alabama,10.07,0.33
2020,1055,1,Alabama,5.7,0.06
2020,1057,1,Alabama,7.95,0.0
2020,1059,1,Alabama,4.84,0.1
2020,1061,1,Alabama,3.65,0.0
2020,1063,1,Alabama,12.66,0.0
2020,1065,1,Alabama,9.12,0.1
2020,1067,1,Alabama,5.45,0.0
2020,1069,1,Alabama,5.6,0.05
2020,1071,1,Alabama,5.19,0.04
2020,1073,1,Alabama,6.25,0.86
2020,1075,1,Alabama,5.11,0.62
2020,1077,1,Alabama,4.67,0.0
2020,1079,1,Alabama,3.76,0.08
2020,1081,1,Alabama,4.68,0.65
2020,1083,1,Alabama,5.09,0.2
2020,1085,1,Alabama,10.48,0.37
2020,1087,1,Alabama,10.87,0.3
2020,1089,1,Alabama,4.47,0.18
2020,1091,1,Alabama,6.94,0.0
2020,1093,1,Alabama,6.16,0.03
2020,1095,1,Alabama,3.65,0.47
2020,1097,1,Alabama,5.62,0.54
2020,1099,1,Alabama,13.51,0.8
2020,1101,1,Alabama,6.42,0.43
2020,1103,1,Alabama,4.79,0.17
2020,1105,1,Alabama,11.45,0.0
2020,1107,1,Alabama,8.47,0.41
2020,1109,1,Alabama,4.88,0.21
2020,1111,1,Alabama,4.09,1.42
2020,1113,1,Alabama,5.59,0.32
2020,1115,1,Alabama,5.2,0.13
2020,1117,1,Alabama,3.78,0.02
2020,1119,1,Alabama,7.97,0.55
2020,1121,1,Alabama,7.05,0.22
2020,1123,1,Alabama,10.96,0.28
2020,1125,1,Alabama,5.95,0.74
2020,1127,1,Alabama,7.33,0.06
2020,1129,1,Alabama,6.75,0.0
2020,1131,1,Alabama,12.98,0.64
2020,1133,1,Alabama,5.43,0.24
2020,2013,2,Alaska,3.56,0.15
2020,2016,2,Alaska,4.01,0.64
2020,2020,2,Alaska,5.23,1.62
2020,2050,2,Alaska,17.5,0.36
2020,2060,2,Alaska,3.82,0.24
2020,2063,2,Alaska,2.81,0.2
2020,2066,2,Alaska,5.64,1.79
2020,2068,2,Alaska,3.66,0.0
2020,2070,2,Alaska,11.6,0.17
2020,2090,2,Alaska,7.12,0.86
2020,2100,2,Alaska,9.03,0.27
2020,2105,2,Alaska,10.85,1.88
2020,2110,2,Alaska,4.43,3.66
2020,2122,2,Alaska,8.0,0.36
2020,2130,2,Alaska,5.56,4.34
2020,2150,2,Alaska,6.18,0.03
2020,2158,2,Alaska,22.55,0.09
2020,2164,2,Alaska,18.25,0.0
2020,2170,2,Alaska,9.87,0.77
2020,2180,2,Alaska,18.07,0.21
2020,2185,2,Alaska,9.8,1.11
2020,2188,2,Alaska,15.98,1.28
2020,2195,2,Alaska,4.32,0.54
2020,2198,2,Alaska,9.69,1.05
2020,2220,2,Alaska,5.36,0.76
2020,2230,2,Alaska,9.97,0.52
2020,2240,2,Alaska,10.52,0.67
2020,2261,2,Alaska,,
2020,2275,2,Alaska,5.99,0.33
2020,2282,2,Alaska,8.26,0.0
2020,2290,2,Alaska,14.99,0.52
2020,4001,4,Arizona,9.37,1.56
2020,4003,4,Arizona,6.77,0.53
2020,4005,4,Arizona,8.06,1.77
2020,4007,4,Arizona,6.33,0.12
2020,4009,4,Arizona,6.93,0.19
2020,4011,4,Arizona,2.85,0.0
2020,4012,4,Arizona,8.83,0.02
2020,4013,4,Arizona,5.1,1.96
2020,4015,4,Arizona,7.63,0.93
2020,4017,4,Arizona,11.03,1.31
2020,4019,4,Arizona,6.84,2.13
2020,4021,4,Arizona,7.07,0.25
2020,4023,4,Arizona,8.33,1.11
2020,4025,4,Arizona,5.84,0.22
2020,4027,4,Arizona,8.64,1.84
2020,5001,5,Arkansas,4.76,0.0
2020,5003,5,Arkansas,4.51,0.0
2020,5005,5,Arkansas,5.44,0.01
2020,5007,5,Arkansas,2.57,0.14
2020,5009,5,Arkansas,4.49,0.09
2020,5011,5,Arkansas,5.68,0.0
2020,5013,5,Arkansas,8.03,0.24
2020,5015,5,Arkansas,4.48,0.1
2020,5017,5,Arkansas,10.84,0.19
2020,5019,5,Arkansas,3.59,0.48
2020,5021,5,Arkansas,5.82,0.03
2020,5023,5,Arkansas,5.11,0.0
2020,5025,5,Arkansas,3.09,0.0
2020,5027,5,Arkansas,6.53,0.28
2020,5029,5,Arkansas,7.33,0.0
2020,5031,5,Arkansas,5.83,0.18
2020,5033,5,Arkansas,4.77,0.02
2020,5035,5,Arkansas,9.29,0.17
2020,5037,5,Arkansas,7.04,0.0
2020,5039,5,Arkansas,6.99,0.0
2020,5041,5,Arkansas,4.99,0.02
2020,5043,5,Arkansas,2.79,0.0
2020,5045,5,Arkansas,3.56,0.16
2020,5047,5,Arkansas,5.44,1.16
2020,5049,5,Arkansas,5.1,1.33
2020,5051,5,Arkansas,6.31,0.26
2020,5053,5,Arkansas,3.26,0.0
2020,5055,5,Arkansas,7.45,0.17
2020,5057,5,Arkansas,5.71,0.56
2020,5059,5,Arkansas,5.57,0.23
2020,5061,5,Arkansas,6.57,0.24
2020,5063,5,Arkansas,4.3,0.21
2020,5065,5,Arkansas,10.72,0.0
2020,5067,5,Arkansas,10.59,0.0
2020,5069,5,Arkansas,8.6,0.49
2020,5071,5,Arkansas,3.94,0.81
2020,5073,5,Arkansas,6.72,0.42
2020,5075,5,Arkansas,7.83,0.02
2020,5077,5,Arkansas,13.81,0.0
2020,5079,5,Arkansas,1.67,0.35
2020,5081,5,Arkansas,7.89,0.0
2020,5083,5,Arkansas,6.14,0.85
2020,5085,5,Arkansas,4.74,0.22
2020,5087,5,Arkansas,7.67,0.0
2020,5089,5,Arkansas,6.0,0.12
2020,5091,5,Arkansas,8.12,0.54
2020,5093,5,Arkansas,8.91,0.25
2020,5095,5,Arkansas,6.24,0.0
2020,5097,5,Arkansas,7.53,0.0
2020,5099,5,Arkansas,5.57,1.77
2020,5101,5,Arkansas,5.28,0.0
2020,5103,5,Arkansas,7.46,0.0
2020,5105,5,Arkansas,5.35,0.12
2020,5107,5,Arkansas,14.42,0.0
2020,5109,5,Arkansas,3.8,0.09
2020,5111,5,Arkansas,4.71,0.0
2020,5113,5,Arkansas,10.51,0.38
2020,5115,5,Arkansas,5.7,0.53
2020,5117,5,Arkansas,6.02,0.0
2020,5119,5,Arkansas,4.98,0.74
2020,5121,5,Arkansas,4.26,0.03
2020,5123,5,Arkansas,5.99,0.01
2020,5125,5,Arkansas,3.92,0.1
2020,5127,5,Arkansas,5.81,0.19
2020,5129,5,Arkansas,3.66,0.56
2020,5131,5,Arkansas,4.94,0.18
2020,5133,5,Arkansas,4.88,0.1
2020,5135,5,Arkansas,5.2,0.08
2020,5137,5,Arkansas,8.22,0.0
2020,5139,5,Arkansas,3.85,0.37
2020,5141,5,Arkansas,7.09,0.0
2020,5143,5,Arkansas,4.4,0.7
2020,5145,5,Arkansas,4.94,0.22
2020,5147,5,Arkansas,5.79,0.0
2020,5149,5,Arkansas,3.56,0.08
2020,6001,6,California,4.73,16.02
2020,6003,6,California,9.98,1.53
2020,6005,6,California,5.64,0.28
2020,6007,6,California,7.41,1.18
2020,6009,6,California,5.21,0.94
2020,6011,6,California,4.2,0.14
2020,6013,6,California,5.48,11.38
2020,6015,6,California,6.39,0.37
2020,6017,6,California,4.66,1.24
2020,6019,6,California,8.85,1.0
2020,6021,6,California,5.67,0.22
2020,6023,6,California,9.04,1.86
2020,6025,6,California,13.7,0.79
2020,6027,6,California,3.93,0.8
2020,6029,6,California,9.13,0.7
2020,6031,6,California,8.44,0.28
2020,6033,6,California,10.54,0.82
2020,6035,6,California,6.15,0.34
2020,6037,6,California,6.45,5.87
2020,6039,6,California,9.62,0.42
2020,6041,6,California,4.54,9.51
2020,6043,6,California,8.73,1.62
2020,6045,6,California,8.64,0.2
2020,6047,6,California,10.69,0.96
2020,6049,6,California,8.39,0.0
2020,6051,6,California,2.45,17.21
2020,6053,6,California,5.07,1.36
2020,6055,6,California,4.52,1.47
2020,6057,6,California,3.96,0.22
2020,6059,6,California,4.96,1.95
2020,6061,6,California,4.16,1.17
2020,6063,6,California,6.33,0.85
2020,6065,6,California,7.27,1.14
2020,6067,6,California,6.41,2.45
2020,6069,6,California,7.53,0.63
2020,6071,6,California,7.3,1.34
2020,6073,6,California,6.17,2.92
2020,6075,6,California,4.68,35.82
2020,6077,6,California,7.25,1.72
2020,6079,6,California,4.47,1.08
2020,6081,6,California,3.99,11.21
2020,6083,6,California,5.7,3.2
2020,6085,6,California,4.25,4.46
2020,6087,6,California,6.08,2.51
2020,6089,6,California,5.91,0.61
2020,6091,6,California,7.03,0.37
2020,6093,6,California,7.39,0.25
2020,6095,6,California,5.88,2.92
2020,6097,6,California,4.62,1.74
2020,6099,6,California,8.82,0.8
2020,6101,6,California,7.7,1.08
2020,6103,6,California,8.86,0.39
2020,6105,6,California,9.05,1.8
2020,6107,6,California,9.9,0.65
2020,6109,6,California,7.3,0.49
2020,6111,6,California,5.1,1.08
2020,6113,6,California,5.58,4.61
2020,6115,6,California,7.11,0.6
2020,8001,8,Colorado,4.07,3.67
2020,8003,8,Colorado,6.88,0.32
2020,8005,8,Colorado,4.36,4.03
2020,8007,8,Colorado,4.26,0.11
2020,8009,8,Colorado,1.54,0.0
2020,8011,8,Colorado,4.4,2.87
2020,8013,8,Colorado,4.52,5.67
2020,8014,8,Colorado,3.59,4.17
2020,8015,8,Colorado,2.26,0.63
2020,8017,8,Colorado,1.73,0.0
2020,8019,8,Colorado,4.06,0.44
2020,8021,8,Colorado,9.77,0.04
2020,8023,8,Colorado,9.32,0.0
2020,8025,8,Colorado,11.62,0.25
2020,8027,8,Colorado,4.07,0.0
2020,8029,8,Colorado,6.91,0.62
2020,8031,8,Colorado,4.34,7.03
2020,8033,8,Colorado,3.86,0.73
2020,8035,8,Colorado,3.48,1.94
2020,8037,8,Colorado,3.9,3.64
2020,8039,8,Colorado,1.76,0.19
2020,8041,8,Colorado,5.93,0.76
2020,8043,8,Colorado,5.52,0.09
2020,8045,8,Colorado,3.99,3.97
2020,8047,8,Colorado,1.94,0.81
2020,8049,8,Colorado,4.99,4.34
2020,8051,8,Colorado,4.22,5.65
2020,8053,8,Colorado,5.16,0.0
2020,8055,8,Colorado,2.28,0.2
2020,8057,8,Colorado,9.96,0.0
2020,8059,8,Colorado,3.95,3.25
2020,8061,8,Colorado,3.21,0.0
2020,8063,8,Colorado,3.68,0.0
2020,8065,8,Colorado,3.63,0.0
2020,8067,8,Colorado,3.94,0.9
2020,8069,8,Colorado,5.09,1.59
2020,8071,8,Colorado,7.85,0.69
2020,8073,8,Colorado,2.94,0.0
2020,8075,8,Colorado,5.22,2.84
2020,8077,8,Colorado,6.88,0.5
2020,8079,8,Colorado,5.6,0.0
2020,8081,8,Colorado,5.05,0.52
2020,8083,8,Colorado,4.44,0.1
2020,8085,8,Colorado,5.33,0.53
2020,8087,8,Colorado,4.23,0.09
2020,8089,8,Colorado,5.92,0.1
2020,8091,8,Colorado,4.19,0.0
2020,8093,8,Colorado,5.86,0.6
2020,8095,8,Colorado,0.68,0.0
2020,8097,8,Colorado,3.37,17.83
2020,8099,8,Colorado,4.99,0.0
2020,8101,8,Colorado,6.89,0.79
2020,8103,8,Colorado,5.79,0.48
2020,8105,8,Colorado,9.35,0.62
2020,8107,8,Colorado,3.91,3.29
2020,8109,8,Colorado,9.8,0.41
2020,8111,8,Colorado,5.56,0.0
2020,8113,8,Colorado,3.02,7.09
2020,8115,8,Colorado,6.35,0.0
2020,8117,8,Colorado,3.09,8.72
2020,8119,8,Colorado,3.92,0.0
2020,8121,8,Colorado,2.06,0.0
2020,8123,8,Colorado,5.05,0.48
2020,8125,8,Colorado,4.12,0.07
2020,9001,9,Connecticut,6.57,10.21
2020,9003,9,Connecticut,5.8,3.36
2020,9005,9,Connecticut,5.77,1.23
2020,9007,9,Connecticut,4.35,1.49
2020,9009,9,Connecticut,6.42,3.69
2020,9011,9,Connecticut,5.29,1.63
2020,9013,9,Connecticut,4.89,1.33
2020,9015,9,Connecticut,6.93,0.97
2020,10001,10,Delaware,6.17,0.86
2020,10003,10,Delaware,6.1,3.56
2020,10005,10,Delaware,4.84,0.36
2020,11001,11,District of Columbia,7.12,35.95
2020,12001,12,Florida,4.98,3.38
2020,12003,12,Florida,5.11,0.0
2020,12005,12,Florida,4.4,0.8
2020,12007,12,Florida,5.35,0.98
2020,12009,12,Florida,5.12,0.64
2020,12011,12,Florida,5.91,2.56
2020,12013,12,Florida,4.03,0.0
2020,12015,12,Florida,5.83,0.28
2020,12017,12,Florida,7.88,0.13
2020,12019,12,Florida,5.43,0.16
2020,12021,12,Florida,4.39,1.18
2020,12023,12,Florida,8.77,0.02
2020,12027,12,Florida,8.76,1.39
2020,12029,12,Florida,3.96,0.04
2020,12031,12,Florida,5.32,1.82
2020,12033,12,Florida,6.35,1.01
2020,12035,12,Florida,4.04,0.32
2020,12037,12,Florida,7.78,0.05
2020,12039,12,Florida,4.78,0.49
2020,12041,12,Florida,4.15,0.04
2020,12043,12,Florida,10.57,1.15
2020,12045,12,Florida,4.59,0.04
2020,12047,12,Florida,9.96,0.14
2020,12049,12,Florida,8.07,1.57
2020,12051,12,Florida,6.91,3.26
2020,12053,12,Florida,6.85,0.32
2020,12055,12,Florida,8.44,0.77
2020,12057,12,Florida,5.18,1.34
2020,12059,12,Florida,5.48,0.0
2020,12061,12,Florida,6.29,0.49
2020,12063,12,Florida,5.93,0.14
2020,12065,12,Florida,5.83,0.0
2020,12067,12,Florida,10.72,0.08
2020,12069,12,Florida,6.1,0.28
2020,12071,12,Florida,4.95,0.71
2020,12073,12,Florida,6.28,1.86
2020,12075,12,Florida,6.42,0.42
2020,12077,12,Florida,8.25,0.0
2020,12079,12,Florida,4.38,0.69
2020,12081,12,Florida,5.65,0.54
2020,12083,12,Florida,6.92,0.43
2020,12085,12,Florida,4.62,0.27
2020,12086,12,Florida,5.05,4.51
2020,12087,12,Florida,3.44,0.84
2020,12089,12,Florida,4.74,0.1
2020,12091,12,Florida,4.13,0.51
2020,12093,12,Florida,5.27,1.3
2020,12095,12,Florida,5.51,2.13
2020,12097,12,Florida,5.7,1.24
2020,12099,12,Florida,6.05,1.78
2020,12101,12,Florida,6.01,0.64
2020,12103,12,Florida,5.15,1.61
2020,12105,12,Florida,5.39,0.41
2020,12107,12,Florida,8.52,0.25
2020,12109,12,Florida,5.08,0.14
2020,12111,12,Florida,5.4,0.37
2020,12113,12,Florida,5.55,0.02
2020,12115,12,Florida,4.0,0.85
2020,12117,12,Florida,4.57,0.83
2020,12119,12,Florida,4.69,0.16
2020,12121,12,Florida,5.23,0.04
2020,12123,12,Florida,7.33,0.02
2020,12125,12,Florida,3.02,1.5
2020,12127,12,Florida,4.69,1.02
2020,12129,12,Florida,3.23,0.02
2020,12131,12,Florida,5.0,0.26
2020,12133,12,Florida,6.4,0.29
2020,13001,13,Georgia,3.8,0.26
2020,13003,13,Georgia,6.44,0.0
2020,13005,13,Georgia,4.31,0.0
2020,13007,13,Georgia,14.03,0.0
2020,13009,13,Georgia,7.36,0.6
2020,13011,13,Georgia,3.73,0.15
2020,13013,13,Georgia,4.83,0.34
2020,13015,13,Georgia,5.75,0.87
2020,13017,13,Georgia,6.12,0.0
2020,13019,13,Georgia,5.83,0.0
2020,13021,13,Georgia,7.44,1.1
2020,13023,13,Georgia,6.73,0.0
2020,13025,13,Georgia,4.7,0.87
2020,13027,13,Georgia,6.79,0.57
2020,13029,13,Georgia,6.97,0.03
2020,13031,13,Georgia,9.04,1.02
2020,13033,13,Georgia,4.43,0.39
2020,13035,13,Georgia,5.12,0.0
2020,13037,13,Georgia,11.03,0.0
2020,13039,13,Georgia,6.58,0.22
2020,13043,13,Georgia,5.12,0.0
2020,13045,13,Georgia,6.24,0.46
2020,13047,13,Georgia,3.5,0.11
2020,13049,13,Georgia,13.73,0.29
2020,13051,13,Georgia,7.38,2.35
2020,13053,13,Georgia,11.77,1.1
2020,13055,13,Georgia,4.87,0.03
2020,13057,13,Georgia,3.76,0.6
2020,13059,13,Georgia,5.81,3.66
2020,13061,13,Georgia,10.13,0.0
2020,13063,13,Georgia,7.05,3.91
2020,13065,13,Georgia,3.76,0.0
2020,13067,13,Georgia,4.78,1.02
2020,13069,13,Georgia,4.16,0.3
2020,13071,13,Georgia,7.59,2.07
2020,13073,13,Georgia,4.77,0.09
2020,13075,13,Georgia,4.62,0.21
2020,13077,13,Georgia,3.85,0.69
2020,13079,13,Georgia,8.65,2.39
2020,13081,13,Georgia,11.96,0.49
2020,13083,13,Georgia,5.0,0.26
2020,13085,13,Georgia,5.07,0.02
2020,13087,13,Georgia,6.45,0.06
2020,13089,13,Georgia,6.68,7.39
2020,13091,13,Georgia,4.6,0.85
2020,13093,13,Georgia,9.21,2.74
2020,13095,13,Georgia,10.44,1.54
2020,13097,13,Georgia,6.7,0.78
2020,13099,13,Georgia,8.19,0.6
2020,13101,13,Georgia,2.43,0.41
2020,13103,13,Georgia,5.88,0.43
2020,13105,13,Georgia,7.03,0.12
2020,13107,13,Georgia,7.96,1.23
2020,13109,13,Georgia,7.75,0.0
2020,13111,13,Georgia,5.79,0.29
2020,13113,13,Georgia,4.15,0.95
2020,13115,13,Georgia,5.57,0.42
2020,13117,13,Georgia,3.29,0.71
2020,13119,13,Georgia,4.51,0.63
2020,13121,13,Georgia,5.79,8.0
2020,13123,13,Georgia,3.14,0.53
2020,13125,13,Georgia,1.38,0.0
2020,13127,13,Georgia,4.76,0.42
2020,13129,13,Georgia,3.5,0.13
2020,13131,13,Georgia,3.07,0.0
2020,13133,13,Georgia,4.4,0.21
2020,13135,13,Georgia,4.05,0.91
2020,13137,13,Georgia,2.43,0.32
2020,13139,13,Georgia,3.53,0.5
2020,13141,13,Georgia,2.49,0.0
2020,13143,13,Georgia,4.27,0.0
2020,13145,13,Georgia,6.25,0.31
2020,13147,13,Georgia,6.21,0.21
2020,13149,13,Georgia,7.36,0.26
2020,13151,13,Georgia,5.71,1.32
2020,13153,13,Georgia,5.49,0.13
2020,13155,13,Georgia,12.01,0.0
2020,13157,13,Georgia,3.94,0.84
2020,13159,13,Georgia,5.12,0.23
2020,13161,13,Georgia,5.34,0.0
2020,13163,13,Georgia,6.66,0.05
2020,13165,13,Georgia,3.91,0.0
2020,13167,13,Georgia,11.78,0.0
2020,13169,13,Georgia,3.99,0.04
2020,13171,13,Georgia,8.07,0.03
2020,13173,13,Georgia,4.02,0.0
2020,13175,13,Georgia,5.04,0.06
2020,13177,13,Georgia,4.69,0.0
2020,13179,13,Georgia,9.3,0.68
2020,13181,13,Georgia,4.05,0.29
2020,13183,13,Georgia,12.39,0.14
2020,13185,13,Georgia,5.81,0.31
2020,13187,13,Georgia,4.77,0.29
2020,13189,13,Georgia,6.32,0.0
2020,13191,13,Georgia,4.1,0.39
2020,13193,13,Georgia,9.2,0.0
2020,13195,13,Georgia,6.28,0.13
2020,13197,13,Georgia,6.45,0.97
2020,13199,13,Georgia,5.6,0.25
2020,13201,13,Georgia,7.01,1.47
2020,13205,13,Georgia,10.87,0.7
2020,13207,13,Georgia,3.69,0.13
2020,13209,13,Georgia,7.81,0.43
2020,13211,13,Georgia,2.98,0.32
2020,13213,13,Georgia,6.5,0.0
2020,13215,13,Georgia,8.58,0.98
2020,13217,13,Georgia,6.16,0.94
2020,13219,13,Georgia,2.93,0.12
2020,13221,13,Georgia,5.21,0.0
2020,13223,13,Georgia,4.27,0.67
2020,13225,13,Georgia,9.69,0.99
2020,13227,13,Georgia,4.57,0.4
2020,13229,13,Georgia,5.05,0.42
2020,13231,13,Georgia,5.02,0.8
2020,13233,13,Georgia,5.35,0.71
2020,13235,13,Georgia,5.2,0.03
2020,13237,13,Georgia,3.45,0.0
2020,13239,13,Georgia,21.39,0.0
2020,13241,13,Georgia,4.07,0.48
2020,13243,13,Georgia,8.77,0.65
2020,13245,13,Georgia,9.29,1.87
2020,13247,13,Georgia,6.6,1.08
2020,13249,13,Georgia,8.03,0.0
2020,13251,13,Georgia,6.14,0.0
2020,13253,13,Georgia,4.78,0.92
2020,13255,13,Georgia,4.31,0.05
2020,13257,13,Georgia,6.39,0.0
2020,13259,13,Georgia,9.19,0.0
2020,13261,13,Georgia,6.48,0.0
2020,13263,13,Georgia,6.52,0.32
2020,13265,13,Georgia,4.21,0.0
2020,13267,13,Georgia,5.75,0.03
2020,13269,13,Georgia,4.79,0.0
2020,13271,13,Georgia,1.54,0.02
2020,13273,13,Georgia,7.44,0.41
2020,13275,13,Georgia,6.21,0.18
2020,13277,13,Georgia,2.82,0.28
2020,13279,13,Georgia,7.22,0.27
2020,13281,13,Georgia,4.15,0.19
2020,13283,13,Georgia,8.88,0.21
2020,13285,13,Georgia,5.77,0.1
2020,13287,13,Georgia,7.39,0.1
2020,13289,13,Georgia,4.06,0.0
2020,13291,13,Georgia,4.79,0.93
2020,13293,13,Georgia,4.33,0.0
2020,13295,13,Georgia,6.79,0.03
2020,13297,13,Georgia,4.77,0.09
2020,13299,13,Georgia,4.18,0.16
2020,13301,13,Georgia,3.66,0.1
2020,13303,13,Georgia,5.08,0.69
2020,13305,13,Georgia,5.39,0.71
2020,13307,13,Georgia,6.29,0.0
2020,13309,13,Georgia,7.18,0.0
2020,13311,13,Georgia,3.51,0.14
2020,13313,13,Georgia,5.95,0.06
2020,13315,13,Georgia,5.9,0.57
2020,13317,13,Georgia,2.27,0.22
2020,13319,13,Georgia,7.53,0.26
2020,13321,13,Georgia,6.37,0.4
2020,15001,15,Hawaii,6.33,1.1
2020,15003,15,Hawaii,4.18,7.5
2020,15005,15,Hawaii,0.0,0.24
2020,15007,15,Hawaii,3.55,0.95
2020,15009,15,Hawaii,5.14,2.4
2020,16001,16,Idaho,3.68,0.35
2020,16003,16,Idaho,11.55,0.0
2020,16005,16,Idaho,5.44,1.02
2020,16007,16,Idaho,3.73,0.38
2020,16009,16,Idaho,6.44,0.86
2020,16011,16,Idaho,5.47,2.81
2020,16013,16,Idaho,1.88,1.52
2020,16015,16,Idaho,1.92,0.0
2020,16017,16,Idaho,4.01,0.92
2020,16019,16,Idaho,3.89,2.99
2020,16021,16,Idaho,2.7,0.44
2020,16023,16,Idaho,3.5,1.54
2020,16025,16,Idaho,2.4,0.0
2020,16027,16,Idaho,4.82,0.22
2020,16029,16,Idaho,3.84,0.0
2020,16031,16,Idaho,3.39,0.43
2020,16033,16,Idaho,3.4,0.0
2020,16035,16,Idaho,6.33,0.22
2020,16037,16,Idaho,4.0,0.26
2020,16039,16,Idaho,6.53,0.6
2020,16041,16,Idaho,0.49,0.36
2020,16043,16,Idaho,6.42,1.08
2020,16045,16,Idaho,3.06,0.01
2020,16047,16,Idaho,6.4,0.29
